Type,p_cts,n_train,n_test,Accuracy_Kernel,Time
Var_P,20,500,500,0.728,102.28684544563293
Var_P,50,500,500,0.774,169.1030032634735
Var_P,100,500,500,0.696,359.5537745952606
Var_N_Train,20,500,500,0.734,126.80114769935608
Var_N_Train,20,1000,500,0.75,263.95412850379944
Var_N_Train,20,1500,500,0.75,678.6615266799927
Var_N_Train,20,2000,500,0.764,569.4616968631744
Var_N_Test,20,2000,200,0.805,92.84675025939941
Var_N_Test,20,2000,500,0.768,236.43067502975464
Var_N_Test,20,2000,800,0.76625,837.6619074344635
Special_Case_P150,150,2000,200,0.76,0.0
