Experiment,p_cts,n_train,n_test,Accuracy,Time
Var_P,20,500,500,0.678,87.11446452140808
Var_P,50,500,500,0.744,166.13807201385498
Var_P,100,500,500,0.766,371.7025980949402
Var_N_Train,20,500,500,0.72,113.95836567878723
Var_N_Train,20,1000,500,0.738,501.0715148448944
Var_N_Train,20,2000,500,0.744,5355.107414484024
Var_N_Train,20,3000,500,0.77,1600.777848482132
Var_N_Test,20,2000,500,0.754,211.42048335075378
Var_N_Test,20,2000,1000,0.734,426.38077330589294
Var_N_Test,20,2000,1500,0.7346666666666667,635.2217292785645
